dataset,subgroup,file,model,has_anomaly_in_test,n_test,n_train,wlen,W,Wp,theta,val_metric,n_detections,n_windows_test,nab_score,raw,null,ideal,ok
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-14.csv,TSMixer,False,216,504,50,80,1,2.5,-0.0,9,0,0.0,"{'tp': 0.0, 'fp': 8.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 46.64}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,ecommerce-api-incoming-rps,ecommerce-api-incoming-rps/api-01.csv,Transformer,True,1858,4334,64,18,1,4.0,-0.75,11,5,35.24765581908447,"{'tp': 2.0785714285714283, 'fp': 3.4324324324324325, 'tn': 1820.0, 'fn': 3, 'n_windows': 5, 'weighted': 399.10100386100385}","{'tp': 0.0, 'fp': 0.0, 'tn': 1820.0, 'fn': 5, 'n_windows': 5, 'weighted': 395.4}","{'tp': 5.5, 'fp': 0.0, 'tn': 1820.0, 'fn': 0, 'n_windows': 5, 'weighted': 405.9}",True
microsoft,ecommerce-api-incoming-rps,ecommerce-api-incoming-rps/api-01.csv,TSMixer,True,1858,4334,64,18,3,4.0,-1.75,6,5,37.79077036219914,"{'tp': 2.1285714285714286, 'fp': 1.4594594594594594, 'tn': 1820.0, 'fn': 3, 'n_windows': 5, 'weighted': 399.3680308880309}","{'tp': 0.0, 'fp': 0.0, 'tn': 1820.0, 'fn': 5, 'n_windows': 5, 'weighted': 395.4}","{'tp': 5.5, 'fp': 0.0, 'tn': 1820.0, 'fn': 0, 'n_windows': 5, 'weighted': 405.9}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-17.csv,TCN,False,216,504,50,80,1,4.0,-0.0,4,0,0.0,"{'tp': 0.0, 'fp': 4.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.080000000000005}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-17.csv,Transformer,False,216,504,50,10,1,3.0,-0.75,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-18.csv,IsolationForest,False,216,504,50,80,1,2.5,-0.0,29,0,0.0,"{'tp': 0.0, 'fp': 8.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 46.64}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-19.csv,GRU,True,216,504,50,10,1,3.0,-0.75,0,1,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 212.0, 'fn': 1, 'n_windows': 1, 'weighted': 45.64}","{'tp': 0.0, 'fp': 0.0, 'tn': 212.0, 'fn': 1, 'n_windows': 1, 'weighted': 45.64}","{'tp': 1.1, 'fp': 0.0, 'tn': 212.0, 'fn': 0, 'n_windows': 1, 'weighted': 47.74}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-16.csv,Transformer,False,216,504,50,10,1,3.0,-0.75,1,0,0.0,"{'tp': 0.0, 'fp': 1.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.410000000000004}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-16.csv,TSMixer,False,216,504,50,10,1,3.0,-0.75,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-17.csv,TSMixer,False,216,504,50,80,1,3.5,-0.0,4,0,0.0,"{'tp': 0.0, 'fp': 4.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.080000000000005}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-17.csv,IsolationForest,False,216,504,50,80,1,3.5,-0.0,6,0,0.0,"{'tp': 0.0, 'fp': 2.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.300000000000004}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-20.csv,GRU,False,216,504,50,80,1,3.0,-0.0,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-20.csv,TCN,False,216,504,50,20,1,4.0,-0.25,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-18.csv,Transformer,False,216,504,50,80,1,2.5,-0.0,10,0,0.0,"{'tp': 0.0, 'fp': 5.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 46.970000000000006}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
microsoft,middle-tier-api-dependency-latency,middle-tier-api-dependency-latency/outbound-18.csv,TSMixer,False,216,504,50,80,1,4.0,-0.0,9,0,0.0,"{'tp': 0.0, 'fp': 5.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 46.970000000000006}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}","{'tp': 0.0, 'fp': 0.0, 'tn': 216.0, 'fn': 0, 'n_windows': 0, 'weighted': 47.52}",True
